DROPOFF_LOCATION_CODE,PICKUP_DAY,PICKUP_HOUR,PICKUP_LOCATION_CODE,PICKUP_MINUTE,PICKUP_MONTH,PICKUP_YEAR,RATE_CODE,TOTAL_AMOUNT,TRIP_DISTANCE,VENDOR_ID
Loc_233,5,21,Loc_170,35,1,2019,GroupRide,6.09,0.4,"Creative Mobile Technologies, LLC"
Loc_234,18,1,Loc_158,53,5,2019,GroupRide,14.3,1.66,VeriFone Inc.
Loc_170,14,12,Loc_229,8,6,2019,GroupRide,9.8,0.7,"Creative Mobile Technologies, LLC"
Loc_237,7,16,Loc_142,6,1,2019,GroupRide,8.3,1.14,VeriFone Inc.
Loc_7,23,11,Loc_137,37,5,2019,GroupRide,24.8,5.5,"Creative Mobile Technologies, LLC"
Loc_151,1,20,Loc_142,22,3,2019,GroupRide,13.22,2.01,VeriFone Inc.
Loc_107,6,8,Loc_170,5,3,2019,GroupRide,16.3,1.5,"Creative Mobile Technologies, LLC"
Loc_142,18,23,Loc_236,0,1,2019,GroupRide,10.8,2.0,"Creative Mobile Technologies, LLC"
Loc_107,9,13,Loc_170,10,5,2019,GroupRide,12.35,1.1,"Creative Mobile Technologies, LLC"
Loc_216,17,21,Loc_132,33,3,2019,GroupRide,19.8,5.26,VeriFone Inc.
Loc_262,28,21,Loc_229,17,5,2019,GroupRide,11.75,1.4,"Creative Mobile Technologies, LLC"
Loc_188,5,10,Loc_138,19,5,2019,GroupRide,45.3,14.6,"Creative Mobile Technologies, LLC"
Loc_68,15,21,Loc_148,34,6,2019,GroupRide,20.47,2.95,VeriFone Inc.
Loc_164,27,19,Loc_234,9,4,2019,GroupRide,12.8,0.95,VeriFone Inc.
Loc_249,17,8,Loc_68,33,3,2019,GroupRide,13.39,1.59,VeriFone Inc.
Loc_229,23,20,Loc_237,36,4,2019,GroupRide,14.16,1.37,VeriFone Inc.
Loc_163,11,19,Loc_161,53,3,2019,GroupRide,10.56,0.65,VeriFone Inc.
Loc_264,31,14,Loc_264,41,5,2019,GroupRide,8.8,0.71,VeriFone Inc.
Loc_211,8,16,Loc_90,10,4,2019,GroupRide,12.8,1.63,VeriFone Inc.
Loc_100,4,0,Loc_163,36,4,2019,GroupRide,11.3,0.9,"Creative Mobile Technologies, LLC"
Loc_142,11,13,Loc_238,44,2,2019,GroupRide,14.3,1.81,VeriFone Inc.
Loc_234,25,17,Loc_140,3,4,2019,GroupRide,22.56,3.21,VeriFone Inc.
Loc_234,9,22,Loc_114,25,5,2019,GroupRide,9.54,0.84,VeriFone Inc.
Loc_234,23,14,Loc_186,51,5,2019,GroupRide,22.56,1.63,VeriFone Inc.
Loc_231,13,22,Loc_107,40,4,2019,GroupRide,22.88,2.77,VeriFone Inc.
Loc_151,25,17,Loc_143,49,5,2019,GroupRide,12.8,2.41,VeriFone Inc.
Loc_238,1,12,Loc_236,11,4,2019,GroupRide,12.35,1.4,"Creative Mobile Technologies, LLC"
Loc_137,21,11,Loc_68,52,5,2019,GroupRide,18.96,1.69,VeriFone Inc.
Loc_113,3,15,Loc_100,51,6,2019,GroupRide,13.56,1.65,VeriFone Inc.
Loc_238,7,10,Loc_170,33,1,2019,GroupRide,16.8,3.1,"Creative Mobile Technologies, LLC"
Loc_239,16,21,Loc_142,39,5,2019,GroupRide,11.16,0.92,VeriFone Inc.
Loc_238,15,16,Loc_24,27,1,2019,GroupRide,7.8,0.97,VeriFone Inc.
Loc_186,12,14,Loc_170,27,4,2019,GroupRide,14.76,1.01,VeriFone Inc.
Loc_163,13,15,Loc_234,29,1,2019,GroupRide,13.8,2.3,"Creative Mobile Technologies, LLC"
Loc_100,3,15,Loc_162,23,1,2019,GroupRide,11.62,1.24,VeriFone Inc.
Loc_246,8,23,Loc_114,53,2,2019,GroupRide,19.3,3.16,VeriFone Inc.
Loc_138,7,17,Loc_100,43,2,2019,GroupRide,51.91,9.1,"Creative Mobile Technologies, LLC"
Loc_113,30,18,Loc_229,13,1,2019,GroupRide,22.49,2.55,VeriFone Inc.
Loc_24,20,14,Loc_262,33,5,2019,GroupRide,18.96,2.34,VeriFone Inc.
Loc_143,11,20,Loc_249,40,6,2019,GroupRide,21.62,3.63,VeriFone Inc.
Loc_239,2,16,Loc_230,8,1,2019,GroupRide,10.3,1.51,VeriFone Inc.
Loc_162,27,14,Loc_236,10,6,2019,GroupRide,16.56,1.93,VeriFone Inc.
Loc_234,24,18,Loc_163,22,1,2019,GroupRide,21.96,2.38,VeriFone Inc.
Loc_239,2,22,Loc_100,31,5,2019,GroupRide,21.35,3.1,"Creative Mobile Technologies, LLC"
Loc_125,25,15,Loc_114,45,3,2019,GroupRide,11.16,0.79,VeriFone Inc.
Loc_50,15,11,Loc_246,56,4,2019,GroupRide,20.3,1.6,"Creative Mobile Technologies, LLC"
Loc_142,22,19,Loc_239,16,1,2019,GroupRide,11.62,1.23,VeriFone Inc.
Loc_186,18,0,Loc_229,18,5,2019,GroupRide,15.96,1.94,VeriFone Inc.
Loc_138,21,12,Loc_75,41,2,2019,GroupRide,38.2,7.63,VeriFone Inc.
Loc_141,4,16,Loc_236,44,3,2019,GroupRide,10.55,0.7,"Creative Mobile Technologies, LLC"
Loc_209,27,11,Loc_13,46,2,2019,GroupRide,11.3,1.8,"Creative Mobile Technologies, LLC"
Loc_246,16,11,Loc_48,36,2,2019,GroupRide,12.96,1.16,VeriFone Inc.
Loc_164,23,9,Loc_90,36,4,2019,GroupRide,17.3,1.52,VeriFone Inc.
Loc_234,27,6,Loc_186,48,4,2019,GroupRide,7.3,0.6,"Creative Mobile Technologies, LLC"
Loc_79,1,20,Loc_79,56,6,2019,GroupRide,9.95,0.5,"Creative Mobile Technologies, LLC"
Loc_148,7,16,Loc_132,46,3,2019,GroupRide,71.75,18.2,"Creative Mobile Technologies, LLC"
Loc_236,5,23,Loc_237,25,3,2019,GroupRide,10.8,1.09,VeriFone Inc.
Loc_234,19,9,Loc_90,36,3,2019,GroupRide,11.8,0.8,"Creative Mobile Technologies, LLC"
Loc_138,6,16,Loc_230,50,1,2019,GroupRide,40.56,11.3,"Creative Mobile Technologies, LLC"
Loc_186,4,7,Loc_229,31,4,2019,GroupRide,15.3,2.48,VeriFone Inc.
Loc_170,4,13,Loc_255,39,6,2019,GroupRide,25.42,4.04,VeriFone Inc.
Loc_164,14,13,Loc_170,58,3,2019,GroupRide,13.3,0.82,VeriFone Inc.
Loc_79,26,17,Loc_13,1,3,2019,GroupRide,20.8,4.4,"Creative Mobile Technologies, LLC"
Loc_243,7,19,Loc_132,41,5,2019,GroupRide,73.42,20.7,"Creative Mobile Technologies, LLC"
Loc_158,2,17,Loc_138,45,1,2019,GroupRide,49.06,10.6,"Creative Mobile Technologies, LLC"
Loc_148,14,20,Loc_114,50,5,2019,GroupRide,9.8,0.59,VeriFone Inc.
Loc_166,17,15,Loc_41,59,5,2019,GroupRide,8.16,0.6,VeriFone Inc.
Loc_143,15,18,Loc_164,30,2,2019,GroupRide,20.76,2.24,VeriFone Inc.
Loc_164,27,14,Loc_48,10,3,2019,GroupRide,21.62,1.76,VeriFone Inc.
Loc_144,13,21,Loc_161,51,3,2019,GroupRide,24.96,4.07,VeriFone Inc.
Loc_216,12,13,Loc_138,11,6,2019,GroupRide,27.8,9.06,VeriFone Inc.
Loc_237,30,9,Loc_140,27,1,2019,GroupRide,9.95,1.0,"Creative Mobile Technologies, LLC"
Loc_68,9,17,Loc_186,59,2,2019,GroupRide,14.76,1.06,VeriFone Inc.
Loc_239,30,9,Loc_262,25,4,2019,GroupRide,16.8,2.0,"Creative Mobile Technologies, LLC"
Loc_162,26,20,Loc_161,0,1,2019,GroupRide,6.96,0.54,VeriFone Inc.
Loc_163,23,15,Loc_162,4,5,2019,GroupRide,19.82,1.71,VeriFone Inc.
Loc_170,30,20,Loc_234,20,6,2019,GroupRide,12.3,1.19,VeriFone Inc.
